BASE_DE,GID_ID,GID_LO,GID_LA,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,ADSTRD_CD,ADSTRD_NM,WKDAY_NM,MVMN_TIME,SEXDSTN_FLAG_CD,AGRDE_CO,PDSTRN_POPLTN_CO,PDSTRN_ELSE_POPLTN_CO
20201119,"84,983,909",127.1097641,37.64806747,41,경기도,4136,남양주시,41360570,별내동,목,12,M,4,9,7
20201105,"83,559,754",127.059967,37.53792572,11,서울특별시,1120,성동구,11200670,성수2가1동,목,12,F,2,23,10
20201105,"73,704,352",126.711441,37.52800369,28,인천광역시,2824,계양구,28245601,효성1동,목,15,F,5,11,13
20201105,"79,911,943",126.9310684,37.51979828,11,서울특별시,1156,영등포구,11560540,여의동,목,12,F,3,32,5
20201105,"83,559,754",127.059967,37.53792572,11,서울특별시,1120,성동구,11200670,성수2가1동,목,8,F,7,17,6
20201105,"83,912,334",127.0708542,37.80926895,41,경기도,4163,양주시,41630550,회천3동,목,9,F,4,4,14
20201105,"79,911,943",126.9310684,37.51979828,11,서울특별시,1156,영등포구,11560540,여의동,목,13,F,5,18,4
20201105,"73,704,352",126.711441,37.52800369,28,인천광역시,2824,계양구,28245601,효성1동,목,22,M,2,11,4
20201109,"75,671,819",126.7828064,37.34367752,41,경기도,4139,시흥시,41390581,군자동,월,19,M,2,17,4
20201109,"75,671,819",126.7828064,37.34367752,41,경기도,4139,시흥시,41390581,군자동,월,21,M,2,11,4
20201109,"85,735,609",127.1369553,37.53413391,11,서울특별시,1174,강동구,11740660,성내3동,월,13,F,3,17,5
20201109,"83,304,027",127.0502167,37.65371323,11,서울특별시,1132,도봉구,11320514,창4동,월,21,M,1,47,6
20201109,"85,159,061",127.1179199,37.27087021,41,경기도,4146,용인시,41463520,구갈동,월,0,F,1,6,7
20201109,"83,304,027",127.0502167,37.65371323,11,서울특별시,1132,도봉구,11320514,창4동,월,19,M,1,30,21
20201109,"85,735,609",127.1369553,37.53413391,11,서울특별시,1174,강동구,11740660,성내3동,월,11,F,3,16,4
20201109,"83,304,027",127.0502167,37.65371323,11,서울특별시,1132,도봉구,11320514,창4동,월,14,F,7,25,7
20201115,"85,671,906",127.1340485,37.66617203,41,경기도,4136,남양주시,41360310,별내면,일,12,M,3,4,3
20201115,"143,006,759",129.1129456,35.14839172,26,부산광역시,2650,수영구,26500660,남천1동,일,18,F,3,6,4
20201115,"76,008,194",126.792984,37.52220917,41,경기도,4119,부천시,41190606,부천동,일,23,F,4,27,12
20201115,"78,232,060",126.8716125,37.52490616,11,서울특별시,1147,양천구,11470510,목1동,일,16,M,6,8,4
20201116,"84,968,148",127.1086349,37.7553215,41,경기도,4115,의정부시,41150578,송산3동,월,15,F,7,14,9
20201116,"80,679,980",126.9579468,37.55823517,11,서울특별시,1141,서대문구,11410555,북아현동,월,12,M,7,13,4
20201116,"86,471,830",127.1624451,37.6545372,41,경기도,4136,남양주시,41360259,진건읍,월,15,M,5,3,4
20201116,"80,679,980",126.9579468,37.55823517,11,서울특별시,1141,서대문구,11410555,북아현동,월,15,F,4,15,3
20201116,"84,887,804",127.1066284,37.59803009,11,서울특별시,1126,중랑구,11260655,망우본동,월,21,F,5,12,4
20201116,"89,301,155",127.2662582,36.52890778,36,세종특별자치시,3611,세종특별자치시,36110310,연기면,월,8,M,4,3,5
20201116,"86,471,830",127.1624451,37.6545372,41,경기도,4136,남양주시,41360259,진건읍,월,9,M,5,6,5
20201116,"84,968,148",127.1086349,37.7553215,41,경기도,4115,의정부시,41150578,송산3동,월,23,F,3,32,6
20201116,"80,679,980",126.9579468,37.55823517,11,서울특별시,1141,서대문구,11410555,북아현동,월,17,F,1,15,5
20201116,"89,301,155",127.2662582,36.52890778,36,세종특별자치시,3611,세종특별자치시,36110310,연기면,월,19,M,1,10,5
20201116,"84,968,148",127.1086349,37.7553215,41,경기도,4115,의정부시,41150578,송산3동,월,16,F,5,10,7
20201116,"80,903,957",126.9659042,37.55421448,11,서울특별시,1114,중구,11140680,중림동,월,7,M,1,6,3
20201109,"83,752,407",127.0650101,37.83763886,41,경기도,4163,양주시,41630530,회천1동,월,21,F,1,34,6
20201109,"83,752,407",127.0650101,37.83763886,41,경기도,4163,양주시,41630530,회천1동,월,19,F,1,32,6
20201109,"96,433,194",127.5150604,34.94451523,46,전라남도,4615,순천시,46150570,덕연동,월,15,M,5,4,4
20201109,"95,221,769",127.4727554,36.97266006,43,충청북도,4377,음성군,43770340,대소면,월,23,M,5,5,4
20201109,"75,671,819",126.7828064,37.34367752,41,경기도,4139,시흥시,41390581,군자동,월,20,M,4,21,5
20201109,"85,735,609",127.1369553,37.53413391,11,서울특별시,1174,강동구,11740660,성내3동,월,10,F,6,15,8
20201109,"85,735,609",127.1369553,37.53413391,11,서울특별시,1174,강동구,11740660,성내3동,월,12,F,5,21,4
20201109,"85,159,061",127.1179199,37.27087021,41,경기도,4146,용인시,41463520,구갈동,월,22,M,5,7,4
20201109,"135,493,046",128.9014435,37.77287292,42,강원도,4215,강릉시,42150572,포남2동,월,0,F,3,4,5
20201109,"83,304,027",127.0502167,37.65371323,11,서울특별시,1132,도봉구,11320514,창4동,월,5,F,5,13,4
20201109,"83,752,407",127.0650101,37.83763886,41,경기도,4163,양주시,41630530,회천1동,월,12,F,2,15,4
20201109,"83,304,027",127.0502167,37.65371323,11,서울특별시,1132,도봉구,11320514,창4동,월,23,F,2,29,17
20201115,"143,006,759",129.1129456,35.14839172,26,부산광역시,2650,수영구,26500660,남천1동,일,12,F,6,4,3
20201115,"63,154,973",126.3780594,34.80362701,46,전라남도,4611,목포시,46110558,원산동,일,17,F,6,7,3
20201115,"82,647,727",127.0279465,37.49994659,11,서울특별시,1168,강남구,11680640,역삼1동,일,15,M,1,6,6
20201115,"76,008,194",126.792984,37.52220917,41,경기도,4119,부천시,41190606,부천동,일,22,F,2,14,34
20201115,"82,647,727",127.0279465,37.49994659,11,서울특별시,1168,강남구,11680640,역삼1동,일,11,F,2,13,4
20201115,"82,647,727",127.0279465,37.49994659,11,서울특별시,1168,강남구,11680640,역삼1동,일,20,F,1,6,3
20201116,"84,968,148",127.1086349,37.7553215,41,경기도,4115,의정부시,41150578,송산3동,월,0,M,1,25,3
20201116,"84,968,148",127.1086349,37.7553215,41,경기도,4115,의정부시,41150578,송산3동,월,22,F,5,11,7
20201116,"74,424,752",126.7348557,37.72870255,41,경기도,4148,파주시,41480560,운정2동,월,11,M,2,6,3
20201116,"86,471,830",127.1624451,37.6545372,41,경기도,4136,남양주시,41360259,진건읍,월,6,F,7,5,3
20201116,"80,679,980",126.9579468,37.55823517,11,서울특별시,1141,서대문구,11410555,북아현동,월,8,F,2,14,3
20201116,"83,063,903",127.042099,37.59103775,11,서울특별시,1123,동대문구,11230705,청량리동,월,20,F,5,6,5
20201109,"83,752,407",127.0650101,37.83763886,41,경기도,4163,양주시,41630530,회천1동,월,11,F,7,7,6
20201109,"83,752,407",127.0650101,37.83763886,41,경기도,4163,양주시,41630530,회천1동,월,11,F,4,21,3
20201109,"83,304,027",127.0502167,37.65371323,11,서울특별시,1132,도봉구,11320514,창4동,월,13,M,4,30,5
20201109,"83,542,150",127.0635834,36.81455994,44,충청남도,4420,아산시,44200330,탕정면,월,12,F,4,6,3
20201109,"83,304,027",127.0502167,37.65371323,11,서울특별시,1132,도봉구,11320514,창4동,월,11,M,4,39,11
20201109,"85,591,367",127.1324158,37.42099762,41,경기도,4113,성남시,41133670,도촌동,월,15,M,4,4,4
